sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units
WHOLESALE-INACTIVE,0,WHOLESALE-INACTIVE,False,1,,,"[{'id': 43815, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
B-ACO-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACO-4LB,False,1,Each,,"[{'id': 43816, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-ACO-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACO-8LB,False,1,Each,,"[{'id': 43817, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-ACT-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACT-4LB,False,1,Each,,"[{'id': 43818, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-ACT-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACT-8LB,True,1,Each,,"[{'id': 43819, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-AGIN-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-AGIN-4LB,False,1,Each,,"[{'id': 43820, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-AGIN-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-AGIN-8LB,False,1,Each,,"[{'id': 43821, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-ALM-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-4LB,False,1,Each,,"[{'id': 43822, 'on_hand': '1', 'available': '1', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-ALM-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-8LB,False,1,Each,,"[{'id': 43823, 'on_hand': '6', 'available': '6', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-ALM-WFM-1GAL-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-WFM-1GAL,False,1,Each,,"[{'id': 43824, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",12,lb
B-CHAI-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CHAI-4LB,False,1,Each,,"[{'id': 43825, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-CHAI-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CHAI-8LB,False,1,Each,,"[{'id': 43826, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
B-ESP-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ESP-4LB,False,1,Each,,"[{'id': 43827, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-ESP-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ESP-8LB,False,1,Each,,"[{'id': 43828, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",12,lb
B-HOTP-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-HOTP-4LB,False,1,Each,,"[{'id': 43829, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,lb
B-HOTP-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-HOTP-8LB,False,1,Each,,"[{'id': 43830, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",11,lb
