sku,ID,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units,asset_account_id,is_master
SJD1706,161862,7.54,Ancho Chiles,True,1,10 lb,,"[{'id': 198382, 'on_hand': '17.83589', 'available': '17.83589', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
255,161867,1.5,Apricots - Diced,True,1,28 lb,,"[{'id': 198387, 'on_hand': '177.38', 'available': '177.38', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
12116120,161868,3.85,Cashews - Organic,True,1,50 lb,,"[{'id': 198388, 'on_hand': '1013.87056', 'available': '1013.87056', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
001A,161869,14.24,Chai Spice Mix,True,1,25 lb,,"[{'id': 198389, 'on_hand': '175.5222', 'available': '175.5222', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
CHSPO12010Z,161870,5.7,Cherries,True,1,10 lb,,"[{'id': 198390, 'on_hand': '336.80484', 'available': '336.80484', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
1086,161871,3.15,Almonds,True,1,50 lb,,"[{'id': 198391, 'on_hand': '10102.75', 'available': '10102.75', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
345037P,161872,11.72,Chocolate - 81%,True,1,6.6 lb,,"[{'id': 198392, 'on_hand': '46.13065', 'available': '46.13065', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-ESP-GGET,161877,8.65,Espresso - Go Get'em Tiger,True,1,5 lb,,"[{'id': 198397, 'on_hand': '40', 'available': '40', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-ESP-TWALK,161878,10.35,Espresso - Tigerwalk,True,1,5 lb,,"[{'id': 198398, 'on_hand': '0.0214', 'available': '0.0214', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
93040O,161880,6.5,Maple Sugar,True,1,40 lb,,"[{'id': 198400, 'on_hand': '199', 'available': '199', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
91040O,161881,6.5,Maple Powder,True,1,40 lb,,"[{'id': 198401, 'on_hand': '24.04', 'available': '24.04', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
12128220,161882,1.88,Coconut - Unsweetened,True,1,25 lb,,"[{'id': 198402, 'on_hand': '65.5', 'available': '65.5', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
MORSEL-5KG,161884,11.36,Chocolate - Morsels,True,1,11.02 lb,,"[{'id': 198404, 'on_hand': '87.46839', 'available': '87.46839', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
CRNGDO12025U,161886,2.65,Cranberries,True,1,25 lb,,"[{'id': 198406, 'on_hand': '167.832', 'available': '167.832', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
30073,161888,4.75,Hazelnuts,True,1,25 lb,,"[{'id': 198408, 'on_hand': '11.5', 'available': '11.5', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
23012,161889,2.6,Honey - Organic,True,1,60 lb,,"[{'id': 198409, 'on_hand': '670.60625', 'available': '670.60625', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-PECANS-ORG,161890,6.25,Pecans,True,1,30 lb,,"[{'id': 198410, 'on_hand': '630', 'available': '630', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-PEPITAS,161891,3.15,Pepitas,True,1,25 lb,,"[{'id': 198411, 'on_hand': '189.6215', 'available': '189.6215', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
QUINOAFLK50#B-O,161892,2.08,Quinoa - Flakes,True,1,60 lb,,"[{'id': 198412, 'on_hand': '1111.2', 'available': '1111.2', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-SORGHUM,161893,2.22,Sorghum,True,1,60 lb,,"[{'id': 198413, 'on_hand': '120', 'available': '120', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
SJD2906,161896,5.91,Guajillo Chiles,True,1,10 lb,,"[{'id': 198416, 'on_hand': '26.2137', 'available': '26.2137', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
VANPOWLB,161898,50.1,Vanilla Powder,True,1,1 lb,,"[{'id': 198418, 'on_hand': '13.2578', 'available': '13.2578', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
ORBLSP,161899,1.95,Peanuts - Organic,True,1,30 lb,,"[{'id': 198419, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
I-CHOC-NIBS,161900,9.75,Chocolate - Nibs,True,1,10 lb,,"[{'id': 198420, 'on_hand': '26.9369', 'available': '26.9369', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
L90D,161901,1.85,Inulin,True,1,617 lb drum,,"[{'id': 198421, 'on_hand': '741.1389', 'available': '741.1389', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
OGFCQ-136,161902,5.72,Quinoa - Crisps,True,1,25 lb,,"[{'id': 198422, 'on_hand': '472.787', 'available': '472.787', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
A4-15,161903,4.88,Coconut Crystals,True,1,27.5 lb,,"[{'id': 198423, 'on_hand': '103.25', 'available': '103.25', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
870H,161904,3.9,Pea Protein,True,1,44.1 lb,,"[{'id': 198424, 'on_hand': '4111', 'available': '4111', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
GRANOLA,163025,2.75,Michele's Granola,True,1,20 lb,,"[{'id': 200479, 'on_hand': '186.65', 'available': '186.65', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
2123,163320,16.99,Lemon Powder,True,1,,,"[{'id': 201062, 'on_hand': '3', 'available': '3', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,1017.0,True
RPS,163407,1.05,Conventional Peanuts,True,1,30lb ,,"[{'id': 201150, 'on_hand': '8817', 'available': '8817', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
0560,163703,0,Guittard Onyx 72% Bittersweet Chocolate Callets,True,1,,0.0,"[{'id': 201509, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
1309922,163764,0,Chia Seeds,True,1,3 lb,,"[{'id': 201601, 'on_hand': '15.28', 'available': '15.28', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1,lb,1017.0,True
