

sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size, stock,weight,weight_units,0
NB-ABJ-OCT19,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-OCT19",False,1,2/13oz Pack,"[{'id': 198660, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-OCT19-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-OCT19-GIFT",False,1,2/13oz Pack,"[{'id': 198661, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-NOV19,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-NOV19",False,1,2/13oz Pack,"[{'id': 200209, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-NOV19-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-NOV19-GIFT",False,1,2/13oz Pack,"[{'id': 200212, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-DEC19,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-DEC19",False,1,2/13oz Pack,"[{'id': 200227, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-DEC19-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-DEC19-GIFT",False,1,2/13oz Pack,"[{'id': 200228, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-JAN20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-JAN20",False,1,2/13oz Pack,"[{'id': 201122, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-JAN20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:AB&J-JAN20-GIFT",False,1,2/13oz Pack,"[{'id': 201123, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-FEB20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-FEB20-GIFT",False,1,2/13oz Pack,"[{'id': 201806, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-FEB20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-FEB20",False,1,2/13oz Pack,"[{'id': 201807, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
