Ingredient,Unit,Peanut,Peanut Pecan,Peanut Almond,Cashew Butter,Peanut Cocoa,Chai Spice,Almond Butter,Fiji Ginger,GGET Espresso,Chocolate Sea Salt,Mamba,Toasted Coconut,Just Peanut,Just Almond,Maple Cinnamon,PCASH,WAG,LCASH,CCCG,Twalk
Kosher Sea Salt,lb,0.5512,0.459,0.221,0.441,0.419,0.364,0.582,0.452,0.375,0.419,0.4412,0.4762,,,0.494,0.441,,0.44,0.474,0.265
Organic Honey,lb,1.375,1.375,0.625,,1.375,1,1.125,,,1.375,,,,,,1.125,,,,
Organic Coconut Oil,lb,0.203,,,1,,,,,0.617,,,,,,,,0.22,1.25,,
RPS- Conventional roasted split peanuts,lb,110,90,50,,85,75,,,,,100,,40,,80,,110,,,
Pecans - Large Pieces,lb,,14.5,,,,,,,,,,,,,13,90,,,,
Dry Roasted Mission Type Almonds,lb,,,5,,,15,110,95,90,85,,90,,100,,,,,40,47.25
Organic Cashew Kernels LWP,lb,,,,90,,,,,,,,,,,,18,,90,,
Chai Spice Mix - No Sugar,lb,,,,,,3.64,,,,,,,,,,,,,,
TCHO Chocolate - 81% Drops,lb,,,,,6.614,,,,,6.613,,,,,,,,,9,
Lemon Powder,lb,,,,,,,,,,,,,,,,,,1,,
"Cocoa Nibs, Bulk",lb,,,,,1.874,,,,,1.102,,,,,,,,,,
Minor Monuments Espresso,lb,,,,,,,,,5,,,,,,,,,,,
Crystallized Ginger Mini Chips 2-5 mm,lb,,,,,,,,15.2,,,,,,,,,,,,
Guajillo Chile Powder,lb,,,,,,,,,,,0.589,,,,,,,,,
Habanero Chile Powder,lb,,,,,,,,,,,0.148,,,,,,,,,
"Ancho Chile Powder, Bulk",lb,,,,,,,,,,,0.941,,,,,,,,,
Unsweetened Coconut Chips,lb,,,,,,,,,,,,6,,,,,,,,
Coconut Crystals,lb,,,,4.25,,,,,6.875,,,1.102,,,,,,4.5,3.31,4.05
"Sugar, Raw Demerara",lb,,,,,,10.75,,,,,6.08,,,,,,,,,
"Vanilla Powder, Bulk",lb,,,,,,,,,,,,,,,,,,,,1.009
Hazelnut Kernels,lb,,,,,,,,,,,,,,,,,,,50,6.75
"Vietnamese Cinnamon, Ground",lb,,,,,,,,,,,,,,,1.4,,,,,0.331
Organic Maple Powder,lb,,,,,,,,,,,,,,,1,,,,,
Organic Maple Granules,lb,,,,,,,,,,,,,,,8.2,,,,,
TCHO Chocolate - 81% Drops,lb,,,,,,,,,,,,,,,,,,,,3.38
Organic Chia Seeds,lb,,,,,,,,,,,,,,,,,1.1,,,
[New Ingredient 8],lb,,,,,,,,,,,,,,,,,,,,
[New Ingredient 9],lb,,,,,,,,,,,,,,,,,,,,
[New Ingredient 10],lb,,,,,,,,,,,,,,,,,,,,
[New Ingredient 11],lb,,,,,,,,,,,,,,,,,,,,
[New Ingredient 12],lb,,,,,,,,,,,,,,,,,,,,
Total Weight in lbs,,112.13,106.33,55.85,95.69,95.28,105.75,111.71,110.65,102.87,94.51,108.20,97.58,40.00,100.00,104.09,109.57,111.32,97.19,102.78,63.04
Total Weight in oz. ,,12572.96,11923.15,6261.97,10729.76,10683.89,11858.11,12525.62,12407.32,11534.39,10597.22,12132.29,10941.37,4485.17,11212.92,11671.98,12285.55,12482.22,10897.84,11525.09,7068.06
13oz,,967,917,481,825,821,912,963,954,887,815,933,841,345,862,897,945,960,838,886,543
10oz,,1257,1192,626,1072,1068,1185,1252,1240,1153,1059,1213,1094,448,1121,1167,1228,1248,1089,1152,706
3oz,,4190,3974,2087,3576,3561,3952,4175,4135,3844,3532,4044,3647,1495,3737,3890,4095,4160,3632,3841,2356
1lb,,112,106,55,95,95,105,111,110,102,94,108,97,40,100,104,109,111,97,102,63
4lb,,28,26,13,23,23,26,27,27,25,23,27,24,10,25,26,27,27,24,25,15
8lb,,14,13,6,11,11,13,13,13,12,11,13,12,5,12,13,13,13,12,12,7
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
