sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
MERCH-T-SPOONS,0,2019 BSR T-shirt - Spoons,True,1,Each,,0.25,lb
APP-CYL-CAP-BLK,0,2019 BSR T-shirt - Spoons:Each,False,1,Each,,0.25,lb
W-TU-BEAR,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,0.25,lb
W-TW-BEAR,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,0.25,lb
W-TW-PNUT,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,0.25,lb
W-TU-PNUT,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,0.25,lb
MERCH-T-SPOONS-W-S,13.85,2019 BSR T-shirt - Spoons:Women's Small,True,1,Each,,0.25,lb
MERCH-T-SPOONS-W-M,13.85,2019 BSR T-shirt - Spoons:Women's Medium,True,1,Each,,0.25,lb
MERCH-T-SPOONS-W-L,13.85,2019 BSR T-shirt - Spoons:Women's Large,True,1,Each,,0.25,lb
MERCH-T-SPOONS-W-XL,13.85,2019 BSR T-shirt - Spoons:Women's XL,True,1,Each,,0.25,lb
MERCH-T-SPOONS-U-S,14.95,2019 BSR T-shirt - Spoons:Unisex Small,True,1,,,0.25,lb
MERCH-T-SPOONS-U-M,14.95,2019 BSR T-shirt - Spoons:Unisex Medium,True,1,Each,,0.25,lb
MERCH-T-SPOONS-U-L,14.95,2019 BSR T-shirt - Spoons:Unisex Large,True,1,Each,,0.25,lb
MERCH-T-SPOONS-U-XL,14.95,2019 BSR T-shirt - Spoons:Unisex XL,True,1,Each,,6,oz
INGREDIENTS,0,INGREDIENTS,True,1,,,0,
I-VAN-10#-INACTIVE,501,INGREDIENTS:Vanilla Powder (Beanilla) - 10# case,False,1,Each,,0,
L90D-INACTIVE,1141.45,"INGREDIENTS:Frutalose (Inulin) L90, 55 gallon drum",False,1,Each,,0,
