sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,stock,weight,weight_units,0,0,0
NB-ALM-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Almond Butter",TRUE,1,1/13oz Pack,"[{'id': 198619, 'on_hand': '0', 'available': '-125', 'committed': '125', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CASH-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Cashew Butter",FALSE,1,1/13oz Pack,"[{'id': 198620, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CHAI-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Chai Spice",TRUE,1,1/13oz Pack,"[{'id': 198621, 'on_hand': '0', 'available': '-100', 'committed': '100', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CSS-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Chocolate Sea Salt",TRUE,1,1/13oz Pack,"[{'id': 198622, 'on_hand': '0', 'available': '-125', 'committed': '125', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-FGIN-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Fiji Ginger",TRUE,1,1/13oz Pack,"[{'id': 198623, 'on_hand': '0', 'available': '-125', 'committed': '125', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-GGET-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:GGet Espresso",TRUE,1,1/13oz Pack,"[{'id': 198624, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-MAMBA-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Hot Mamba",TRUE,1,1/13oz Pack,"[{'id': 198625, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-MPC-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Maple Cinnamon",TRUE,1,1/13oz Pack,"[{'id': 198626, 'on_hand': '0', 'available': '-100', 'committed': '100', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-PNUT-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Peanut Butter",TRUE,1,1/13oz Pack,"[{'id': 198627, 'on_hand': '0', 'available': '-250', 'committed': '250', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-PPEC-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Peanut Pecan",TRUE,1,1/13oz Pack,"[{'id': 198628, 'on_hand': '0', 'available': '-75', 'committed': '75', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-TCO-13OZ-1PACK,0,"Nut Butter, 13 oz Single Jar Pack:Toasted Coconut",TRUE,1,1/13oz Pack,"[{'id': 198629, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-ALM-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Almond Butter",TRUE,1,2/13oz Pack,"[{'id': 198631, 'on_hand': '0', 'available': '-30', 'committed': '30', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CASH-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Cashew Butter",FALSE,1,2/13oz Pack,"[{'id': 198632, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CHAI-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Chai Spice",TRUE,1,2/13oz Pack,"[{'id': 198633, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-CSS-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Chocolate Sea Salt",TRUE,1,2/13oz Pack,"[{'id': 198634, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-FGIN-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Fiji Ginger",TRUE,1,2/13oz Pack,"[{'id': 198635, 'on_hand': '0', 'available': '-30', 'committed': '30', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-GGET-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:GGet Espresso",TRUE,1,2/13oz Pack,"[{'id': 198636, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
NB-MAMBA-13OZ-2PACK,0,"Nut Butter, 2-Pack 13 oz Jar:Hot Mamba",TRUE,1,2/13oz Pack,"[{'id': 198637, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,,,
