sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
WHOLESALE-INACTIVE,0,WHOLESALE-INACTIVE,False,1,,,0,
B-ACO-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACO-4LB,False,1,Each,,6,lb
B-ACO-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACO-8LB,False,1,Each,,11,lb
B-ACT-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACT-4LB,False,1,Each,,6,lb
B-ACT-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ACT-8LB,True,1,Each,,11,lb
B-AGIN-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-AGIN-4LB,False,1,Each,,6,lb
B-AGIN-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-AGIN-8LB,False,1,Each,,11,lb
B-ALM-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-4LB,False,1,Each,,6,lb
B-ALM-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-8LB,False,1,Each,,11,lb
B-ALM-WFM-1GAL-INACTIVE,0,WHOLESALE-INACTIVE:B-ALM-WFM-1GAL,False,1,Each,,12,lb
B-CHAI-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CHAI-4LB,False,1,Each,,6,lb
B-CHAI-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-CHAI-8LB,False,1,Each,,11,lb
B-ESP-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ESP-4LB,False,1,Each,,6,lb
B-ESP-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-ESP-8LB,False,1,Each,,12,lb
B-HOTP-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-HOTP-4LB,False,1,Each,,6,lb
B-HOTP-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-HOTP-8LB,False,1,Each,,11,lb
B-MPC-4LB-INACTIVE,0,WHOLESALE-INACTIVE:B-MPC-4LB,True,1,Each,,6,lb
B-MPC-8LB-INACTIVE,0,WHOLESALE-INACTIVE:B-MPC-8LB,True,1,Each,,11,lb
