date,amount bought,sku,money spent
2018-06-04,42.0,3109-INACTIVE,4714.5
2018-06-04,25.0,I-NIBS-INACTIVE,243.75
2018-06-04,154.0,35152-INACTIVE,0.0
2018-06-04,170.8,I-ASKINOSIE-MOR-INACTIVE,4270.0
2018-06-04,210.0,181237-INACTIVE,10061.099999999999
2018-06-04,8010.0,I-ALM-50#-INACTIVE,1381725.0
2018-06-04,280.0,5171786-INACTIVE,40026.0
2018-06-04,105.0,CRYSTALS-INACTIVE,14089.949999999999
2018-06-04,75.0,TAZACAFE-INACTIVE,4125.0
2018-06-04,240.0,6150-INACTIVE,0.0
2018-06-04,50.0,BW416P804,0.0
2018-06-04,190.0,NSSU155-INACTIVE,9102.9
2018-06-04,8.0,I-VAN-10#-INACTIVE,4008.0
2018-06-04,20.0,OHDHON(5gal)-INACTIVE,0.0
2018-06-04,100.0,PUMPKINSEED-INACTIVE,330.0
2018-06-04,137.0,2191-INACTIVE,28359.0
2018-06-04,522.8,QUINOAFLK25#B-O-INACTIVE,54371.2
2018-06-04,85.0,RST DCD 25LB-INACTIVE,13281.25
2018-06-04,9.9,250220-INACTIVE,245.223
2018-06-04,132.0,RW2160088-INACTIVE,0.0
2018-06-04,180.0,RW5100178-INACTIVE,10260.0
2018-06-04,18.0,990042-INACTIVE,307.62
2018-06-04,201.0,92040-INACTIVE,56754.36
2018-06-04,125.0,TAZAPURO-INACTIVE,6250.0
2018-06-04,28.0,23450-INACTIVE,1253.0
2018-06-04,419.1,20144-INACTIVE,78308.835
2018-06-04,65.0,272230-INACTIVE,0.0
2018-06-04,80.0,SORGHUM-INACTIVE,10640.0
2018-06-04,22.0,017463-20-US-INACTIVE,0.0
2018-06-04,677.0,L90D-INACTIVE,772761.65
2018-06-04,7620.0,272250-INACTIVE,0.0
2018-06-04,11.0,KOSH##-INACTIVE,54.12
2018-06-08,65.0,I-ESP-TIGER-5LB-INACTIVE,3363.75
2018-06-11,145.0,I-CHAI-NOSUGAR-INACTIVE,2064.8
2018-06-12,1960.0,WT147099CF-INACTIVE,0.0
2018-06-12,20000.0,C70G-450GGMLP-5-INACTIVE,2200.0
2018-06-12,2300.0,LABEL-3OZ-LID-INACTIVE,0.0
2018-06-12,11707.0,BULK-Label-Sequential Number-INACTIVE,0.0
2018-06-12,500.0,PL09W-INACTIVE,185.0
2018-06-12,500.0,P009-INACTIVE,0.0
2018-06-12,500.0,44W64W-INACTIVE,0.0
2018-06-12,200.0,LABEL-3OZ-PNUT-INACTIVE,32.0
2018-06-12,5000.0,203495A,0.0
2018-06-12,5000.0,AP-12PK-BOX,0.0
2018-06-12,20000.0,S-13166-INACTIVE,0.0
2018-06-12,27250.0,1012-300-001-100,0.0
2018-06-12,1300.0,LABEL-ACO-10OZ-INACTIVE,169.0
2018-06-12,3850.0,WT145501CF-INACTIVE,0.0
2018-06-12,20000.0,G10-70-450BIGSPOON01-28-INACTIVE,5400.0
2018-06-12,1650.0,WT142989CF-INACTIVE,0.0
2018-06-12,3900.0,WT119605CF-INACTIVE,663.0
2018-06-12,500.0,44W64L-INACTIVE,345.0
2018-06-12,2710.0,WT119596CF-INACTIVE,352.3
2018-06-12,3450.0,L-PCASH-10OZ-INACTIVE,586.5
2018-06-12,1650.0,WT142983CF,0.0
2018-06-12,6930.0,WT119593CF-INACTIVE,0.0
2018-06-12,5740.0,WT119601CF-INACTIVE,975.8000000000001
2018-06-12,3260.0,WT119602CF-INACTIVE,554.2
2018-06-12,3640.0,WT139740CF-INACTIVE,473.2
2018-06-12,2310.0,WT119600CF-INACTIVE,0.0
2018-06-12,4650.0,WT119604CF-INACTIVE,790.5
2018-06-12,11707.0,WT119606CF-INACTIVE,819.4900000000001
2018-06-20,176.37,BW416P804,0.0
2018-06-21,2625.0,LABEL-3OZ-PNUT-INACTIVE,420.0
