sku,price,fully_qualified_name,active,for_sale,product_type,incremental_order_quantity,pack_size,pack_size_qty,weight,weight_units
BAR-BUTTER-PPEP,0,Bar Butters:Peanut Pepita,True,True,inventory_assembly,1,,,0,
BAR-FC-SUBSCR,0,"Nut Butter Bar, Subscriptions:Figgy Chai",True,True,inventory_assembly,1,12/60g Bars,,0,
BAR-CC-SUBSCR,0,"Nut Butter Bar, Subscriptions:Cranberry Cashew",True,True,inventory_assembly,1,12/60g Bars,,1.5,lb
BAR-AP-SUBSCR,0,"Nut Butter Bar, Subscriptions:Apricot Pepita",True,True,inventory_assembly,1,12/60g Bars,,0,
BAR-SUBSCR,0,"Nut Butter Bar, Subscriptions",True,True,inventory_assembly,1,,,0,
BAR-AP-SINGLE-SAMPLE,0,"Nut Butter Bar, Sample 60g Bar:Apricot Pepita",True,True,inventory_assembly,1,,,0.17,lb
BAR-CP-SINGLE-SAMPLE,0,"Nut Butter Bar, Sample 60g Bar:Cherry Pecan",True,True,inventory_assembly,1,,,0.17,lb
BAR-CC-SINGLE-SAMPLE,0,"Nut Butter Bar, Sample 60g Bar:Cranberry Cashew",True,True,inventory_assembly,1,,,0.17,lb
BAR-CP-SUBSCR,0,"Nut Butter Bar, Subscriptions:Cherry Pecan",True,True,inventory_assembly,1,12/60g Bars,,0,
BAR-FC-SINGLE-SAMPLE,0,"Nut Butter Bar, Sample 60g Bar:Figgy Chai",True,True,inventory_assembly,1,,,0.17,lb
NB-PNUT-3OZ-SAMPLE,0,"Nut Butter, 3 oz Single Jar Sample:Peanut Butter",True,True,inventory_assembly,1,,,0,
NB-FGIN-3OZ-SAMPLE,0,"Nut Butter, 3 oz Single Jar Sample:Fiji Ginger",True,True,inventory_assembly,1,,,0,
NB-MPC-3OZ-SAMPLE,0,"Nut Butter, 3 oz Single Jar Sample:Maple Cinnamon",True,True,inventory_assembly,1,,,0,
NB-CHAI-3OZ-SAMPLE,0,"Nut Butter, 3 oz Single Jar Sample:Chai Spice",True,True,inventory_assembly,1,,,0,
NB-3OZ-SAMPLE,0,"Nut Butter, 3 oz Single Jar Sample",True,True,inventory_assembly,1,,,0,
NB-TCO-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:Toasted Coconut",True,True,inventory_assembly,1,,,1.38,lb
NB-PPEC-13OZ-SAMPLE,0,"Nut Butter, 13 oz Single Jar Sample:Peanut Pecan",True,True,inventory_assembly,1,,,1.38,lb
BAR-SINGLE-SAMPLE,0,"Nut Butter Bar, Sample 60g Bar",True,True,inventory_assembly,1,,,0,
BAR-VP-SUBSCR,0,"Nut Butter Bar, Subscriptions:Variety Pack",True,True,inventory_assembly,1,12/60g Bars,,0,
NB-SUBSCR,0,"Nut Butter, Subscriptions",True,True,inventory_assembly,1,,,0,
NB-PNUT-SUBSCR,0,"Nut Butter, Subscriptions:YOUR-PNUT",True,True,inventory_assembly,1,13 oz Jar,,17,oz
NB-13OZ-1PACK-GIFT,0,"Nut Butter, 13 oz Single Jar Gift Pack",True,True,inventory_assembly,1,1/13oz Pack,,0,
NB-ABJ-SUBSCR-JUN20,0,"Nut Butter, Subscriptions:ABJ-JUN20-SUBSCR",True,True,inventory_assembly,1,2pack / 13oz jar,,2.14,lb
NB-PBJ-SUBSCR-JUN20,0,"Nut Butter, Subscriptions:PBJ-JUN20-SUBSCR",True,True,inventory_assembly,1,2pack/13 oz Jar,,2.14,lb
