sku,available,prev committed,updated committed,left over,name
MERCH-JAM-OCT19,0.0,0.0,0.0,0.0,Featured Jam:Lemon Bird Preserves Bourbon Figs with Vanilla & Smoked Salt
MERCH-JAM-DEC19,0.0,0.0,0.0,0.0,Featured Jam:Girl Meets Dirt Pear Balsamic
MERCH-JAM-BLENAPRICOT,0.0,0.0,0.0,0.0,Featured Jam:Lemon Bird Preserves Blenheim Apricot
MERCH-JAM-FLAVPLUMCOT,0.0,0.0,0.0,0.0,Featured Jam:Lemon Bird Preserves Flavorella Plumcot
MERCH-JAM-PEARGINGER,0.0,0.0,0.0,0.0,Featured Jam:Lemon Bird Preserves Pear Ginger
MERCH-JAM-FIDDLEHEAD,0.0,0.0,0.0,0.0,Featured Jam:Fiddlehead Farm Jams
MERCH-JAM-NOV19,0.0,0.0,0.0,0.0,Featured Jam:Urban Canning Co. Spiced Apple
MERCH-JAM-JAN20,0.0,0.0,0.0,0.0,Featured Jam:Brins Strawberry Lemongrass
MERCH-JAM-FEB20,1.0,0.0,0.0,1.0,Featured Jam:Frog Hollow Farm Organic Blood Orange & Strawberry Marmalade
MERCH-JAM-MAR20,1.0,0.0,0.0,1.0,Featured Jam:V Smiley Preserves Black Currant Shiro Plum
MERCH-JAM-APRIL20,170.0,16.0,16.0,154.0,Featured Jam:Potlicker Kitchen Pear Ginger Jam
MERCH-JAM-MAY20,0.0,0.0,0.0,0.0,Featured Jam:Regina's Farm Kitchen Peach Vanilla Bean
BAR-AP-CASE,284.0,81.0,81.0,203.0,Apricot Pepita Nut Butter Bar:Case
BAR-AP-SINGLE,16.0,0.0,0.0,16.0,Apricot Pepita Nut Butter Bar:Bar
BAR-AP-SCRAP,0.0,0.0,0.0,0.0,Apricot Pepita Nut Butter Bar:Bar Scrap - 100g
BAR-CC-CASE,58.0,65.0,65.0,-7.0,Cranberry Cashew Nut Butter Bar:Case
BAR-CC-SINGLE,3.0,0.0,0.0,3.0,Cranberry Cashew Nut Butter Bar:Bar
